shot,true_obs,ml_class,beam8_pred,bp30+osd_pred,nms-ens24_pred,beam8_regret,bp30+osd_regret,nms-ens24_regret
458,9,9,9,9,9,0.000000,0.000000,0.000000
459,0,0,0,0,0,0.000000,0.000000,0.000000
460,0,0,0,0,0,0.000000,0.000000,0.000000
461,12,12,12,12,12,0.000000,0.000000,0.000000
462,0,0,0,0,0,0.000000,0.000000,0.000000
463,9,9,9,11,9,0.000000,7.780717,0.000000
464,0,0,0,0,0,0.000000,0.000000,0.000000
465,0,0,0,0,0,0.000000,0.000000,0.000000
466,0,0,0,0,0,0.000000,0.000000,0.000000
467,0,0,0,0,0,0.000000,0.000000,0.000000
468,0,0,0,0,0,0.000000,0.000000,0.000000
469,8,8,8,8,8,0.000000,0.000000,0.000000
470,0,0,0,0,0,0.000000,0.000000,0.000000
471,0,0,0,0,0,0.000000,0.000000,0.000000
472,14,14,14,14,14,0.000000,0.000000,0.000000
473,10,10,10,10,10,0.000000,0.000000,0.000000
474,0,0,0,0,0,0.000000,0.000000,0.000000
475,0,0,0,0,0,0.000000,0.000000,0.000000
476,0,0,0,0,0,0.000000,0.000000,0.000000
477,0,0,0,0,0,0.000000,0.000000,0.000000
478,0,0,0,0,0,0.000000,0.000000,0.000000
479,10,10,10,10,10,0.000000,0.000000,0.000000
480,0,0,0,0,0,0.000000,0.000000,0.000000
481,12,12,12,12,12,0.000000,0.000000,0.000000
482,4,4,4,4,4,0.000000,0.000000,0.000000
483,9,9,9,9,9,0.000000,0.000000,0.000000
484,0,0,0,0,0,0.000000,0.000000,0.000000
485,6,6,6,6,6,0.000000,0.000000,0.000000
486,4,4,4,4,4,0.000000,0.000000,0.000000
487,0,0,0,0,0,0.000000,0.000000,0.000000
488,0,0,0,0,0,0.000000,0.000000,0.000000
489,0,0,0,0,0,0.000000,0.000000,0.000000
490,0,0,0,0,0,0.000000,0.000000,0.000000
491,3,3,1,1,1,0.000139,0.000139,0.000139
492,0,0,0,0,0,0.000000,0.000000,0.000000
493,1,1,1,13,1,0.000000,7.088409,0.000000
494,0,0,0,0,0,0.000000,0.000000,0.000000
495,0,0,0,0,0,0.000000,0.000000,0.000000
496,0,0,0,0,0,0.000000,0.000000,0.000000
497,0,0,0,3,0,0.000000,7.085501,0.000000
498,4,4,6,4,0,0.000000,0.000000,13.772050
499,4,4,4,4,4,0.000000,0.000000,0.000000
500,0,0,0,0,0,0.000000,0.000000,0.000000
501,0,0,0,0,0,0.000000,0.000000,0.000000
502,0,0,0,0,0,0.000000,0.000000,0.000000
503,0,0,0,0,0,0.000000,0.000000,0.000000
504,4,4,4,4,4,0.000000,0.000000,0.000000
505,0,0,0,0,0,0.000000,0.000000,0.000000
